기업명,그룹사,기업종류,공고명,직무키워드,학력,경력구분,근무지
(주)와이즐리컴퍼니,,,[SI] Product Owner (인턴),"SI개발, AI(인공지능), AIX, SI영업, 프로덕트마케팅",학력무관,경력무관 · 인턴직,서울 강남구
(주)케이씨씨,케이씨씨그룹,대기업,[KCC] 2026년 3분기 부문별 대졸 신입 수시채용 (회계),"손익관리, 예산관리, 원가관리, 실적관리, 회계",대학교(4년)↑,신입 · 정규직,전북 전주시 외
(주)케이씨씨,케이씨씨그룹,대기업,[KCC] 2026년 3분기 부문별 대졸 신입 수시채용 (소재생산),"생산, 생산기술, 공정관리",대학교(4년)↑,신입 · 정규직,전북 전주시
(주)케이씨씨,케이씨씨그룹,대기업,[KCC] 2026년 3분기 부문별 대졸 신입 수시채용 (소재기술),"기술지원, 제품설계, 생산기술",대학교(4년)↑,신입 · 정규직,전북 전주시
(주)케이씨씨,케이씨씨그룹,대기업,[KCC] 2026년 3분기 부문별 대졸 신입 수시채용 (보온재기술),"품질관리, 생산기술, 공정관리",대학교(4년)↑,신입 · 정규직,강원 원주시
(주)케이씨씨,케이씨씨그룹,대기업,[KCC] 2026년 3분기 부문별 대졸 신입 수시채용 (컬러개발),"도료/페인트, 트렌드분석, 생산기술",대학교(4년)↑,신입 · 정규직,경기 용인시 기흥구
(주)농협하나로유통,농협그룹,대기업,고양유통센터 계약직(영업지원직) 채용 공고(진열 및 판매),"영업관리, 영업지원, 영업직, 판매직, 진열관리",학력무관,경력무관 · 계약직,경기 고양시 일산서구
(주)농협하나로유통,농협그룹,대기업,고양유통센터 계약직(영업지원직) 채용 공고(소매 계산),"영업관리, 영업지원, 영업직, 캐셔, 영업",학력무관,경력무관 · 계약직,경기 고양시 일산서구
(주)농협하나로유통,농협그룹,대기업,농협울산유통센터 계약직(영업지원직)채용공고_농산,"영업관리, 영업지원, 영업직, 판매직, 진열관리",학력무관,경력무관 · 계약직,울산 북구
(주)농협하나로유통,농협그룹,대기업,고양유통센터 계약직(영업지원직) 채용 공고(식자재 계산),"영업관리, 영업지원, 영업직, 캐셔, 영업",학력무관,경력무관 · 계약직,경기 고양시 일산서구
(주)농협하나로유통,농협그룹,대기업,농협울산유통센터 계약직(영업지원직)채용공고_축산,"영업관리, 영업지원, 영업직, 판매직, 진열관리",학력무관,경력무관 · 계약직,울산 북구
(주)농협하나로유통,농협그룹,대기업,하나로마트 반림점 영업지원직 채용 공고,"영업관리, 영업지원, 영업직, 캐셔, 판매직",학력무관,경력무관 · 계약직,경남 창원시 성산구
(주)농협하나로유통,농협그룹,대기업,달성유통센터 영업지원직 채용 공고,"영업관리, 영업지원, 영업직, 영업",학력무관,경력무관 · 계약직,대구 달성군
(주)농협하나로유통,농협그룹,대기업,하나로마트 동탄유통센터 (영업지원직)모집공고,"영업관리, 영업지원, 영업직, 진열관리, 영업",학력무관,경력무관 · 계약직,경기 화성시 동탄구
농협경제지주(주),농협그룹,대기업,농협경제지주 안성농식품물류센터 영업지원직 채용 공고,"영업관리, 영업지원, 영업직, 영업",고졸↑,경력무관 · 계약직,경기 안성시
(주)케이씨씨,케이씨씨그룹,대기업,[KCC] 2026년 3분기 부문별 대졸 신입 수시채용 (도료기술),"기술지원, 도료/페인트, 생산기술",대학교(4년)↑,신입 · 정규직,전북 전주시 외
(주)케이씨씨,케이씨씨그룹,대기업,[KCC] 2026년 3분기 부문별 대졸 신입 수시채용 (자동차기술),"생산관리, 도료/페인트, 생산, 생산기술",대학교(4년)↑,신입 · 정규직,경기 용인시 기흥구
씨제이푸드빌(주),,대기업,[공식] CJ푸드빌 음성공장 베이커리 생산직 신입사원 채용,"단순생산직, 설비OP, 제조가공",고졸↑,신입 · 정규직,충북 음성군 외
(주)케이씨씨,케이씨씨그룹,대기업,[KCC] 2026년 3분기 부문별 대졸 신입 수시채용 (도료영업),"채권관리, 영업관리, 영업지원, 영업마케팅, 영업전략",대학교(4년)↑,신입 · 정규직,전북 전주시 외
