기업명,그룹사,기업종류,공고명,직무키워드,학력,경력구분,근무지
로엘법무법인,,,[로엘법무법인] 대구 분사무소 송무팀 직원 모집 (경력무관),"사무직, 송무비서, 법률사무원, 문서작성, 사무보조",학력무관,경력무관 · 정규직,대구 수성구
(주)순수식품,순수식품그룹,,온라인 MD/AMD 채용 (네이버/쿠팡/오픈마켓/종합몰 외),"무역사무원, 영업관리, 영업지원, 영업직, 영업MD",대학교(4년)↑,신입 · 경력 · 정규직,서울 금천구 외
국립농산물품질관리원 경남지원,,,[경남진주] 2026년 농지조사원 기간제 근로자 채용 계획 공고,"사무직, 사무보조, 사무행정",학력무관,경력무관 · 계약직,경남 진주시
하이트진로산업(주),하이트진로그룹,대기업,하이트진로산업(주) 진주공장 생산팀(요로)관리자 모집(신입),"비금속/요업, 에너지관리, 생산, 제조, 제병",대학교(4년)↑,신입 · 정규직,경남 진주시
(주)우아한형제들,우아한형제들그룹,외국계,리서치 오퍼레이터,"리서치, UI/UX, 기획",학력무관,신입 · 경력 · 계약직,서울 송파구
(주)우아한형제들,우아한형제들그룹,외국계,운영지원(광고영업),"영업관리, 영업마케팅, B2B, 프로모션기획, 이벤트프로모션",학력무관,신입 · 경력 · 계약직,서울 송파구
(주)우신시스템,우신시스템그룹,코스피,재무회계팀 신입/경력 모집,"더존, 관리회계, 급여(Payroll), 기업회계, 세무회계",학력무관,신입 · 경력 · 정규직,경기 시흥시 외
법무부,법무부그룹,,[경북북부제2교도소] 2026년 제2회 공무직 근로자(조리원)채용,"조리사, 급식소, 식당",학력무관,경력무관 · 계약직,경북 청송군
(주)삼구아이앤씨,삼구아이앤씨그룹,,[삼구아이앤씨] 엘앤에프 플러스 생산 지원업무 근무자 구인,"사무행정, 기계조작원, 단순생산직, 생산관리, 품질검사원",학력무관,신입 · 경력 · 계약직,대구 달성군
(주)지씨셀,녹십자그룹,코스닥,[녹십자 그룹] GC셀 회계(결산 및 원천세 등) 담당자 모집(신입),"전산회계, 더존, 관리회계, 기업회계, 법인결산",대학교(4년)↑,신입 · 정규직,경기 용인시 기흥구 외
농협손해보험(주),농협그룹,대기업,NH농협손해보험 일반계약직 채용 공고(배상보험지급팀),"보험심사, 배상, 보험사고, 보험청구, 손해보험",학력무관,경력무관 · 계약직,서울 서대문구
(주)카카오,카카오그룹,대기업,마케팅 콘텐츠 제작/운영 디자인_어시스턴트,"프로모션기획, 마케팅기획, 마케팅전략, 콘텐츠기획, 브랜드마케팅","대학(2,3년)↑",경력무관 · 인턴직,경기 성남시 분당구
케이에스엠(주),,,"[사세확장, 경력무관]생산관리 모집","ER(노무관리), 기계조작원, 단순생산직, 생산관리, 외관검사원",학력무관,경력무관 · 정규직,부산 사상구 외
(주)카카오,카카오그룹,대기업,제휴마케팅_어시스턴트,"데이터분석가, 채널관리, 프로모션기획, 리서치, 데이터분석","대학(2,3년)↑",신입 · 경력 · 인턴직,경기 성남시 분당구
서울주택도시개발공사,,대기업,2026년도 청년 체험형 인턴 채용공고(기술원),"시설관리, 민원상담",학력무관,경력무관 · 인턴직,서울전체
서울주택도시개발공사,,대기업,2026년도 청년 체험형 인턴 채용공고(사무원),"사무직, 문서작성, 사무보조, 사무행정, 민원상담",학력무관,경력무관 · 인턴직,서울전체
서울주택도시개발공사,,대기업,2026년도 청년 체험형 인턴 채용공고(전기/기계),"서류관리, 기계설계, 기계기사, 전기기사, 전기설계",학력무관,경력무관 · 인턴직,서울전체
토스뱅크(주),토스그룹,대기업,AI Product Team Leader,"기술지원, AI(인공지능), PO(프로덕트오너)",학력무관,경력무관 · 정규직,서울 강남구
토스뱅크(주),토스그룹,대기업,Content Specialist (Editing),"기술지원, AI(인공지능), 콘텐츠관리, 콘텐츠기획",학력무관,경력무관 · 계약직,서울 강남구
토스뱅크(주),토스그룹,대기업,Credit Rating Modeler,"기술지원, SE(시스템엔지니어), AI(인공지능)",학력무관,신입 · 경력 · 정규직,서울 강남구
토스뱅크(주),토스그룹,대기업,Data Governance Manager,"기술지원, 데이터분석가, 데이터엔지니어, 데이터 사이언티스트",학력무관,신입 · 경력 · 정규직,서울 강남구
(주)네오위즈,네오위즈홀딩스그룹,코스닥,라이프 시뮬레이션 신작 프로젝트 기획자 (인턴),"게임개발, GM(게임운영), 게임기획",학력무관,경력무관 · 인턴직,경기 성남시 분당구
(주)네오위즈,네오위즈홀딩스그룹,코스닥,IP Merchandise Lead,"게임개발, GM(게임운영), 게임기획",학력무관,경력무관 · 정규직,경기 성남시 분당구
(주)해안종합건축사사무소,,,(주)해안건축 2027년 신입공채_친환경설계,"환경관리자, 설계엔지니어, 환경설계, 친환경건축",대학교(4년)↑,신입 · 정규직,서울 강남구
(주)해안종합건축사사무소,,,(주)해안건축 2027년 신입공채_전략기획,"전략기획, 리서치, 신사업기획, 신사업발굴, 타당성검토",대학교(4년)↑,신입 · 정규직,서울 강남구
서울주택도시개발공사,,대기업,2026년도 청년 체험형 인턴 채용공고(건축),"건축가, 건축기사, 건축구조설계, 건축설비, 실내건축시공",학력무관,경력무관 · 인턴직,서울전체
(주)해안종합건축사사무소,,,(주)해안건축 2027년 신입공채_건축설계,"건축가, 건축기사, 건축구조설계, 건축설비, CAD",대학교(4년)↑,신입 · 정규직,서울 강남구
(주)해안종합건축사사무소,,,(주)해안건축 2027년 신입공채_개발기획,"시장조사, 상품기획, 사업개발",대학교(4년)↑,신입 · 정규직,서울 강남구
(주)아이엠비씨,문화방송그룹,코스닥,연예뉴스 취재기자(계약직),"사무보조, 사무행정, 기자, 정산관리",대학교(4년)↑,경력무관 · 계약직,서울 마포구
(주)해안종합건축사사무소,,,(주)해안건축 2027년 신입공채_도시설계,"GIS, 도시설계, 도시개발, 도시교통, CAD",대학교(4년)↑,신입 · 정규직,서울 강남구
(주)에이치텍건축사사무소,,,(주)에이치텍건축사사무소 2027년 신입공채,"설계엔지니어, BIM, AutoCAD, 건축설계",대학교(4년)↑,신입 · 정규직,서울 강남구
(주)아이엠비씨,문화방송그룹,코스닥,온라인 광고(신입),"시장조사, AE(광고기획자), 광고기획, 데이터분석",대학교(4년)↑,신입 · 정규직,서울 마포구
(주)아이엠비씨,문화방송그룹,코스닥,웹개발(신입/경력),"백엔드/서버개발, 웹개발, SE(시스템엔지니어), AI(인공지능), C#",대학교(4년)↑,신입 · 경력 · 정규직,서울 마포구
서울주택도시개발공사,,대기업,2026년도 청년 체험형 인턴 채용공고(토목),"토목기술자, 토목설계, 토목건축, 토목공사, 토목공학",학력무관,경력무관 · 인턴직,서울전체
서울주택도시개발공사,,대기업,2026년도 청년 체험형 인턴 채용공고(경영지원/사업관리),"경영지원, 사업기획, 사업관리",학력무관,경력무관 · 인턴직,서울전체
(주)인크로스,에스케이그룹,대기업,[SK그룹-인크로스] 인플루언서 마케팅 영업/운영(계약직) 채용,"광고영업, 인플루언서마케팅, 광고마케팅, PPL","대학(2,3년)↑",신입 · 경력 · 계약직,서울 관악구
(주)셀트리온스킨큐어,셀트리온그룹,대기업,[셀트리온그룹사] 사업 기획 담당 전환형 인턴,"경영기획, 사업기획, 전략기획, 기획",대학교(4년)↑,신입 · 인턴직,서울 서초구
(주)다이나테크,,,2026년 하반기 각 부문별 직원 채용공고,"기술영업, 영업관리, 영업지원, 영업직, 영업MD",학력무관,신입 · 경력 · 정규직 외,인천 서해구 외
(주)경보제약,종근당그룹,대기업,경보제약 신입/경력 수시 채용,"데이터분석가, 데이터엔지니어, 빅데이터, AI(인공지능), AICPA",대학교(4년)↑,신입 · 경력 · 정규직 외,충남 아산시 외
(주)테크웨이즈,,,[㈜테크웨이즈] 각 부문별 신입·경력사원 모집,"기술지원, SE(시스템엔지니어), SI개발, 네트워크, 솔루션",고졸↑,신입 · 경력 · 정규직,경기 용인시 수지구 외
롯데렌탈(주),롯데그룹,대기업,[롯데렌탈] 영업지원(부산) 계약직 채용,"사무직, 문서작성, 사무보조, 서류관리, 자료입력",학력무관,신입 · 계약직,부산 동구
롯데렌탈(주),롯데그룹,대기업,롯데렌터카 차량관리(점검) 계약직 채용,"탁송기사, 배차관리, 매장매니저, 발레파킹, 세차원",학력무관,신입 · 계약직,인천 부평구 외
롯데렌탈(주),롯데그룹,대기업,롯데렌터카 차량관리 채용 (수도권/울산/목포),"탁송기사, 배차관리, 매장매니저, 발레파킹, 세차원",학력무관,신입 · 계약직,서울 강서구 외
,,,2026 부산상공회의소 신입직원 채용,"해외법인, 사무직, 서무, 총무, 문서작성",대학교(4년)↑,신입 · 경력 · 정규직,부산 부산진구
(주)지컴,,,사업지원본부 디자인팀 신입 및 경력 모집,"광고디자인, 시각디자인, 패키지디자인, 편집디자인, 브로슈어","대학(2,3년)↑",신입 · 경력 · 정규직 외,서울 서초구
롯데엔지니어링플라스틱(주),롯데그룹,대기업,[롯데EP]생산기능직 채용 공고,"플라스틱, 압출기, 3교대, 생산",학력무관,신입 · 계약직,충남 아산시
동국대학교 DUICA,,,동국대학교 DUICA 정규직원 채용 공고,"마케팅기획, 마케팅전략, 행사기획, 기업홍보, 오프라인마케팅",대학교(4년)↑,신입 · 경력 · 정규직,서울 중구 외
덕산에테르씨티(주),,,덕산에테르씨티(주) 부안공장 각 부문 채용,"연구원, 고분자, 기술연구, 기계조작원, 생산관리",학력무관,신입 · 경력 · 정규직,전북 부안군 외
대화제약(주),대화그룹,대기업,"대화제약㈜ 약사팀, 공무팀, 개발팀, 공장지원팀, 생산혁신팀, 제제연구1팀 채용","기술사업화, 문서작성, 사무행정, 서류관리, 인/허가",학력무관,신입 · 경력 · 정규직,서울 서초구 외
,,,2026년 하반기 생산 조립 업무 담당자(정규직) 모집,"단순생산직, 제조가공, 조립, 주간근무, 생산",학력무관,경력무관 · 정규직,충남 아산시
,,,2026년 하반기 사무보조 모집 [정규직],"사무직, 문서작성, 사무보조, 사무행정, 서류관리",학력무관,경력무관 · 정규직,충남 아산시
(주)지니수,,,[인턴] 프롭테크 플랫폼 서비스 개발,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, SaaS, 데이터 사이언티스트",고졸↑,신입 · 인턴직,서울 강남구
(주)동양화공기계,,,㈜동양화공기계 부문별 정규직 채용,"총무, 문서작성, 비품관리, 사내행사, 사무행정",학력무관,신입 · 경력 · 정규직,경기 파주시 외
넷마블(주),넷마블그룹,대기업,[넷마블] AI 전략실 인턴 모집,"법인결산, 회계결산, 재무",대학교(4년)↑,신입 · 계약직,서울 구로구
동국제약(주),동국제약그룹,대기업,[동국제약] 신입/경력 채용(Global/관리/마케팅/영업/디자인/개발 등 모집),"보안컨설팅, 정보보안, 감사, 관리회계, 기업회계",대학교(4년)↑,신입 · 경력 · 정규직 외,서울 강남구 외
신한투자증권(주),신한금융지주회사그룹,대기업,2026년 신입사원 공개채용 (통합직무),금융사무,대학교(4년)↑,신입 · 정규직,서울 영등포구
에스케이네트웍스서비스(주),에스케이그룹,대기업,2026년 8월 Solution 영업 사원 채용 (디지털인프라),"백엔드/서버개발, IT컨설팅, 솔루션, 솔루션기술영업, IT영업",대학교(4년)↑,신입 · 경력 · 정규직,서울 종로구
식품의약품안전처,식품의약품안전처그룹,공사·공기업,2026년 제2차 본부 청년인턴 채용 공고,"사무직, 사무보조, 사무행정",학력무관,경력무관 · 인턴직,충북 청주시 흥덕구
(주)일화,통일그룹,,2026년 (주)일화 신입 및 경력 채용,"CRA(임상연구원), 임상시험, 제약QA, 연구원, R&D",고졸↑,신입 · 경력 · 정규직,서울 강동구 외
SK텔레콤(주),에스케이그룹,대기업,이동통신 품질측정 담당자,"정보통신, 법인결산, 사무직, 사무보조, 사무행정",고졸↑,신입 · 계약직,대전 서구
테슬라코리아(유),,대기업,[Tesla Korea] 대규모 공개 채용,"영업관리, 자동차영업, 고객관리, 영업, 자동차정비",학력무관,신입 · 경력 · 정규직,서울 강남구
,,,2026년 청년인턴 채용 공고,"사무직, 사무보조, 사무행정",학력무관,경력무관 · 인턴직,서울 종로구
