날짜,종가,전일비,시가,고가,저가,거래량
2026.04.09,204000,하락6500,207000,207500,202000,42320839
2026.04.08,210500,상승14000,214000,214500,207500,35890973
2026.04.07,196500,상승3400,202000,202500,192400,30848053
2026.04.06,193100,상승6900,190900,194600,190100,20635958
2026.04.03,186200,상승7800,184200,187200,182700,20194447
2026.04.02,178400,하락11200,192600,193600,175000,38615231
2026.04.01,189600,상승22400,179000,190800,178000,32390251
2026.03.31,167200,하락9100,170000,174700,167000,38659593
2026.03.30,176300,하락3400,171000,176650,170600,22269147
2026.03.27,179700,하락400,172100,181700,172000,29138966
2026.03.26,180100,하락8900,185500,185900,178900,32074131
2026.03.25,189000,하락700,193700,196400,189000,22995904
2026.03.24,189700,상승3400,195500,196000,185500,25458914
2026.03.23,186300,하락13100,190500,191200,186300,30268173
2026.03.20,199400,하락1100,202000,202500,199000,35279762
2026.03.19,200500,하락8000,199900,205000,199600,19884483
2026.03.18,208500,상승14600,200500,209000,199700,25148481
2026.03.17,193900,상승5200,198000,198000,193100,20300082
2026.03.16,188700,상승5200,184600,189000,183600,19747901
2026.03.13,183500,하락4400,180000,186200,179900,19566331
2026.03.12,187900,하락2100,186600,190000,185900,20440753
2026.03.11,190000,상승2100,193000,194800,187700,24311356
2026.03.10,187900,상승14400,187600,191500,184300,33530170
2026.03.09,173500,하락14700,173500,175500,167300,43066020
2026.03.06,188200,하락3400,186100,189700,181000,29522650
2026.03.05,191600,상승19400,195000,199700,188100,53959129
2026.03.04,172200,하락22900,184200,195900,171900,89427954
2026.03.03,195100,하락21400,209500,212500,195100,54879010
2026.02.27,216500,하락1500,210000,223000,210000,51774768
2026.02.26,218000,상승14500,206500,219000,206000,30095763
2026.02.25,203500,상승3500,202500,206000,201000,26987996
2026.02.24,200000,상승7000,193000,200000,192000,28060617
2026.02.23,193000,상승2900,194400,197600,190500,26364684
2026.02.20,190100,상승100,190000,190300,188600,24213880
2026.02.19,190000,상승8800,188000,190900,187100,27049388
2026.02.13,181200,상승2600,179500,184400,178900,34454192
2026.02.12,178600,상승10800,171200,179600,170100,41296011
2026.02.11,167800,상승2000,164000,168600,162000,22760242
2026.02.10,165800,하락600,167400,168100,165500,19369566
2026.02.09,166400,상승7800,168600,168700,165000,25098971
2026.02.06,158600,하락700,154100,160300,151600,36358081
2026.02.05,159300,하락9800,162000,164000,158500,38435228
2026.02.04,169100,상승1600,163500,169400,163100,29943042
2026.02.03,167500,상승17100,157900,167500,157200,36529813
2026.02.02,150400,하락10100,155700,159600,150400,39748369
2026.01.30,160500,하락200,160100,166500,160100,40557267
2026.01.29,160700,하락1700,166200,166600,157100,36087223
2026.01.28,162400,상승2900,162600,163300,160200,29456431
2026.01.27,159500,상승7400,150500,159500,149200,29423670
2026.01.26,152100,보합0,154900,156400,151500,20561689
2026.01.23,152100,하락200,154700,156000,150100,25407497
2026.01.22,152300,상승2800,155000,157000,150800,32073624
2026.01.21,149500,상승4300,141900,149800,141800,31703610
2026.01.20,145200,하락4100,148500,149300,143900,24059218
2026.01.19,149300,상승400,147200,150600,146600,22762497
2026.01.16,148900,상승5000,145300,149500,144300,30000219
