seq,uid,상세,중개사,매물유형,동,층,공급면적,전용면적,매매가,보증금,월세,등록일
20446904,41139573,남향 조용한 주거단지 9호선 급행선 이용 쾌적한 자연환경,라임공인중개사사무소,매매,102,저,115.34,84.85,"175,000",0,0,2026-08-15
20446904,41162066,정원 조망 남향 채광좋음 무주택자 가능 9호선 역세권,라임공인중개사사무소,매매,102,저,115.34,84.85,"175,000",0,0,2026-08-17
20446904,41293334,"9호선도보5분거리,급행강남권25분거리,초중고인접",둔촌박성원공인중개사사무소,매매,102,저,115.34,84.85,"175,000",0,0,2026-08-20
20446904,41443568,"9호선도보5분거리,급행강남권25분거리,초중고인접",둔촌박성원공인중개사사무소,매매,102,저,208.97,84.85,"175,000",0,0,2026-08-25
20446904,41151547,1년 단기  월세 가능 풀 시스템 에어컨 9호선 역세권,라임공인중개사사무소,전세,104,고,83.17,59.86,0,"65,000",0,2026-08-16
20446904,41072533,1 년 단기 풀에어컨 입주일 협의 커뮤니티 운영중 9호선 역세권,라임공인중개사사무소,전세,104,고,83.17,59.86,0,"65,000",0,2026-08-13
20446904,40793643,전세 가능 1년 단기 풀에어컨 조용한 안쪽동 9호선 역세권,라임공인중개사사무소,월세,104,고,83.17,59.86,0,"60,000",20,2026-08-05
1575,40482464,"  남향 9호선초역세권 교통, 학군, 편의시설 좋음",반도부동산,매매,102,저,108.36,84.34,"130,000",0,0,2026-07-27
1575,40574110,"  남향 입주협의  교통, 학군, 편의시설 좋음",반석공인중개사사무소,매매,102,저,108.36,84.34,"130,000",0,0,2026-07-29
1575,41194447," 9호선보훈병원역급행이용용이, 일자산숲세권",둔촌푸르지오공인중개사사무소,매매,102,저,108.36,84.34,"130,000",0,0,2026-08-18
1575,41310108,"남향,9호선도보8분거리,급행강남권25분거리,초중고인접,",둔촌박성원공인중개사사무소,매매,102,2,130.36,84.34,"130,000",0,0,2026-08-21
1575,41424944," 9호선보훈병원급행, 일자산숲세권 ",서울부동산중개사무소,매매,102,저,108.36,84.34,"130,000",0,0,2026-08-24
1575,41432699,"수리되어서깔끔합니다, 9호선도보가능",일광공인중개사사무소,매매,101,1,100.98,59.63,"90,000",0,0,2026-08-25
1615,41139575,거실확장등 올수리 주인거주 더블역세권 더블역세권,라임공인중개사사무소,매매,102,중,110.74,84.93,"160,000",0,0,2026-08-15
1615,41286634,확장포함 올수리 주인거주 더블역세권 풍부한 생활인프라,라임공인중개사사무소,매매,102,중,110.74,84.93,"160,000",0,0,2026-08-20
1615,41467032,"사준집,저평가,남향,내부옛수리,거실확장 중간방확장",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,102,중,109.74,84.16,"155,000",0,0,2026-08-25
1615,41369361,"아이키우기 좋은저층,한산초중,전세안고,무주택자만 매수가능",신동아공인중개사사무소,매매,102,1,110.24,84.54,"145,000",0,0,2026-08-22
1615,40784559,"전세안고,한산초중,5.9호선더블역세권,무주택자매수가능,전자계약OK",신동아공인중개사사무소,매매,102,1,110.24,84.54,"145,000",0,0,2026-08-05
1615,41137371,"방3,화2,내부수리,한산초중,5.9호선더블역세권",신동아공인중개사사무소,매매,102,저,101.80,66.96,"145,000",0,0,2026-08-15
1615,41445140,"신혼부부강추,특올수리,뻥뷰,9호선5호선더블역세권",둔촌박성원공인중개사사무소,매매,101,중,114.47,59.40,"140,000",0,0,2026-08-25
1615,41449069,"신혼부부강추,특올수리,뻥뷰,9호선5호선더블역세권",둔촌박성원공인중개사사무소,매매,101,중,86.04,59.40,"140,000",0,0,2026-08-25
1615,41467031,"사준집,무주택자만가능,한산초중인접,세안고",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,101,중,86.04,59.40,"140,000",0,0,2026-08-25
1615,41218873,"샷시포함특올수리,전망좋은로얄층,한산초중",신동아공인중개사사무소,매매,101,중,86.04,59.40,"140,000",0,0,2026-08-19
1615,41058314,"저렴,한산초중,5.9호선더블역세권,세낀물건",신동아공인중개사사무소,매매,101,중,85.28,58.87,"137,000",0,0,2026-08-13
1615,41107600,"저렴,전세안고,한산초중,10월말잔금",신동아공인중개사사무소,매매,101,중,85.28,58.87,"137,000",0,0,2026-08-14
1615,41340958,"저렴,남향,한산초중,5.9호선더블역세권",신동아공인중개사사무소,매매,101,저,86.04,59.40,"130,000",0,0,2026-08-21
1615,41369360,"아이키우기 좋은1층,한산초중,5.9호선더블역세권,전자계약OK",신동아공인중개사사무소,매매,101,1,86.04,59.40,"130,000",0,0,2026-08-22
1606,40793644,거실 확장등 수리됨 풍부한 생활인프라 더블역세권,라임공인중개사사무소,매매,101,저,135.64,109.73,"178,000",0,0,2026-08-05
1606,41358676,추천 6층 이상 남향 트인 공원뷰 거실확장포함 올수리,라임공인중개사사무소,매매,101,저,107.64,84.86,"170,000",0,0,2026-08-22
1606,41442695,주인거주 남향 공원 트인조망 거실확장 풍부한 생활 인프라,라임공인중개사사무소,매매,101,중,135.25,84.86,"170,000",0,0,2026-08-25
1606,41139574,추천 3년전 올수리 주인거주 공원 남향뷰 더블역세권,라임공인중개사사무소,매매,101,저,107.64,84.86,"170,000",0,0,2026-08-15
1606,41162064,주인거주 남향 거실확장등 수리 풍부한 생활 인프라,라임공인중개사사무소,매매,101,중,107.64,84.86,"170,000",0,0,2026-08-17
1606,41328014,"영구공원뷰,주인거주중.9호선도보7분거리,5호선도보8분거리,초중인접",둔촌박성원공인중개사사무소,매매,101,6,107.64,84.86,"165,000",0,0,2026-08-21
1606,41351473,"공원뷰,주인거주중,9호선도보7분거리,5호선8분거리,초중인접",둔촌박성원공인중개사사무소,매매,101,6,135.25,84.86,"165,000",0,0,2026-08-22
1606,40940163,추천 남향 공원뷰 트인 조망 일부수리 정상입주 풍부한 생활 인프라,라임공인중개사사무소,매매,101,6,107.64,84.86,"165,000",0,0,2026-08-10
1606,41162067,추천 주인거주 거실확장형 전체올수리 편리한 생활인프라,라임공인중개사사무소,매매,102,중,87.26,59.78,"141,000",0,0,2026-08-17
1606,41436808,"특올수리,9호선5호선더블역세권,한산초중바로앞",둔촌박성원공인중개사사무소,매매,102,중,106.71,59.78,"141,000",0,0,2026-08-25
1606,41442767,추천 주인거주 남향 확장형 특올수리 풍부한 생활인프라,라임공인중개사사무소,매매,102,중,106.71,59.78,"141,000",0,0,2026-08-25
1606,41448965,주인거주 남향 확장형 특올수리 풍부한 생활인프라,라임공인중개사사무소,매매,102,중,87.26,59.78,"141,000",0,0,2026-08-25
1606,41449071,"신혼부부강추,특올수리,9호선5호선더블역세권,초중고인접",둔촌박성원공인중개사사무소,매매,102,중,87.26,59.78,"141,000",0,0,2026-08-25
1606,41448964,주인거주 남향 채광 좋음 도보 통학권 우수 다양한 생활 인프라,라임공인중개사사무소,매매,102,저,87.26,59.78,"140,000",0,0,2026-08-25
1606,40857690,"남향,한산초중,포레온공원뷰,5.9호선역세권,전자계약OK",신동아공인중개사사무소,월세,101,저,107.64,84.86,0,"55,000",100,2026-08-07
1606,41354421,"26. 툭트인 뷰, 수리되어 깨끗한 집, 로얄",으뜸헬리오시티공인중개사사무소,월세,102,고,106.71,59.78,0,"50,000",80,2026-08-22
1606,41165688,"26. 툭트인 뷰, 수리되어 깨끗한 집, 로얄",으뜸헬리오시티공인중개사사무소,월세,102,고,87.26,59.78,0,"40,000",120,2026-08-17
1606,40944778,"26. 툭트인 뷰, 수리되어 깨끗한 집, 로얄",으뜸헬리오시티공인중개사사무소,월세,102,고,87.26,59.78,0,"40,000",120,2026-08-10
1605,41264894,"올수리됨,남향,최고로얄동,영구조망권,9호선,5호선더블역세권,초중고인접",둔촌박성원공인중개사사무소,매매,202,고,198.96,114.72,"185,000",0,0,2026-08-20
1605,40793639,올수리예정 주변편의시설및 공원이용 편리 도보통학권 우수,라임공인중개사사무소,전세,201,저,109.48,84.78,0,"85,000",0,2026-08-05
1605,41151550,수리예정 이사일 협의,라임공인중개사사무소,전세,201,저,109.48,84.78,0,"85,000",0,2026-08-16
20126613,41194573,9호선급행보훈병원역. 일자산숲세권. 세안고매수,서울부동산중개사무소,매매,103,저,138.93,113.67,"180,000",0,0,2026-08-18
20126613,41325797,"9호선보훈병원역, 일자산공원 숲세권,세안고매수",둔촌푸르지오공인중개사사무소,매매,103,저,138.93,113.67,"180,000",0,0,2026-08-21
20126613,41040157,"신혼부부추천, 9호선 보훈병원역, 일자산뻥뷰",둔촌푸르지오공인중개사사무소,매매,110,고,83.42,59.98,"158,000",0,0,2026-08-12
20126613,41194574,"9호선보훈병원급행, 일자산조망, 집깔끔",서울부동산중개사무소,매매,110,고,83.42,59.98,"158,000",0,0,2026-08-18
1609,41442637,확장올수리 주인거주 확트인개방감 5.9호선급행도보7분,마음공인중개사사무소,매매,1,중,137.47,84.54,"149,000","53,000",0,2026-08-25
1609,41422691,"확장및올수리,일자산뷰,9호선.5호선더블역세권,초중고인접",둔촌박성원공인중개사사무소,매매,1,17,86.30,59.79,"135,000",0,0,2026-08-24
1609,41439435,"신혼부부강추,확장및올수리됨,9호선5호선더블역세권,한산초중인접",둔촌박성원공인중개사사무소,매매,1,17,106.05,59.79,"135,000",0,0,2026-08-25
1609,41235568,26 l 실거주 l A컨디션 l 더블역세권 l 둔촌초 선린초,윤포레온공인중개사사무소,매매,1,고,86.30,59.79,"135,000",0,0,2026-08-18
1609,41422664,"사준집,저평가,뻥뷰,내부올수리 입주일협의",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,1,17,86.30,59.79,"135,000",0,0,2026-08-24
1609,41467028,"사준집,저평가,투자가치,내부특올수리,뻥뷰,5.9호선역세권",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,1,17,86.30,59.79,"135,000",0,0,2026-08-25
1609,41480648,"신혼부부강추,특올수리,최고로얄층뷰막힘없음,9호선5호선더블역세권,",둔촌박성원공인중개사사무소,매매,1,19,106.05,59.79,"133,000",0,0,2026-08-26
1609,41358675,일자산 트인조망 올수리 입주일 협의 풍부한 생활 인프라,라임공인중개사사무소,매매,1,19,86.30,59.79,"133,000",0,0,2026-08-22
1609,41393794,"고층 일자산트인뷰 특올수리 5,9호선이용 초중고가까움",열매공인중개사사무소,매매,1,19,106.05,59.79,"133,000",0,0,2026-08-24
1609,41397695,시원하게 트인뷰. 최근 화이트올수리.투자추천,MAX맥스공인중개사사무소,매매,1,19,106.05,59.79,"133,000",0,0,2026-08-24
1609,41150289,일자산 트인조망 올수리 입주일 협의 풍부한 생활 인프라,라임공인중개사사무소,매매,1,19,106.05,59.79,"133,000",0,0,2026-08-16
